frameNumber,x,y,z,velocity,snr,noise
83,-0.6106745600700378,4.7451090812683105,-0.988997220993042,0.0,179,423
83,0.0,24.315393447875977,2.3321940898895264,0.0,135,438
84,-0.4580059349536896,0.8564867377281189,0.10651315003633499,0.0,201,541
84,-0.7328094840049744,0.3583000898361206,0.5378618240356445,0.0,201,541
84,-0.4885396659374237,1.854379415512085,0.3759547770023346,0.0,240,499
84,-0.6106745600700378,4.823683261871338,-0.47566306591033936,0.0,189,423
84,0.0,23.627315521240234,3.8469645977020264,0.0,147,420
85,-0.4885396659374237,1.8761557340621948,0.24516288936138153,0.0,220,522
85,-0.6106745600700378,4.838973522186279,0.2801934778690338,0.0,181,445
85,0.0,23.777238845825195,2.7734627723693848,0.0,141,418
86,-0.4885396659374237,1.8889261484146118,0.10965085029602051,0.0,226,521
86,-0.6106745600700378,4.8395915031433105,0.2693106532096863,0.0,229,420
87,-0.5496070981025696,1.8715670108795166,0.11791840195655823,0.0,223,523
87,-0.4580059051513672,4.853740215301514,0.3139050602912903,0.0,229,425
88,-0.3969384729862213,0.2847994565963745,-0.0003536239673849195,0.0,156,616
88,-0.12213491648435593,0.22905705869197845,-0.413868248462677,0.0,156,616
88,-0.5496070981025696,1.8689249753952026,0.15423299372196198,0.0,224,521
88,-0.4580059051513672,4.849742412567139,0.3705735206604004,0.0,237,421
88,0.0,24.419960021972656,0.585708498954773,0.0,121,435
89,-0.33587101101875305,0.3475658595561981,0.07113118469715118,0.0,140,622
89,-0.12213491648435593,0.26264524459838867,-0.3934101462364197,0.0,140,622
89,-0.42747220396995544,3.3923377990722656,0.0647256150841713,0.0,222,459
89,-0.6106745600700378,4.842552185058594,0.20943386852741241,0.0,221,440
89,0.0,24.352602005004883,1.9047949314117432,0.0,129,434
90,-0.33587101101875305,0.3536299169063568,-0.02841746062040329,0.0,157,616
90,-0.5954077243804932,1.3265734910964966,0.18366128206253052,0.0,191,556
90,-0.5343402624130249,3.3776986598968506,-0.022595424205064774,0.0,243,439
90,-0.6106745600700378,4.842532157897949,0.20989829301834106,0.0,233,424
90,0.0,24.41182518005371,0.8603985905647278,0.0,126,437
91,-0.24426983296871185,0.3199540674686432,-0.27682602405548096,0.0,152,612
91,-0.38167160749435425,0.304622083902359,0.014253689907491207,0.0,152,612
91,-0.5343402624130249,3.3776485919952393,-0.029149049893021584,0.0,229,446
91,-0.6106745600700378,4.835144519805908,0.33992865681648254,0.0,221,429
91,0.0,24.345869064331055,1.9890011548995972,0.0,123,436
92,-0.3664047420024872,0.32029134035110474,-0.042802244424819946,0.0,170,612
92,-0.6106745600700378,4.83488655090332,0.3435770869255066,0.0,226,426
92,0.0,24.345869064331055,1.9890011548995972,0.0,124,435
93,-0.33587101101875305,0.35395026206970215,0.024101756513118744,0.0,156,605
93,-0.5343402624130249,3.376044273376465,0.10808996111154556,0.0,212,451
93,0.0,24.318729400634766,2.2971560955047607,0.0,124,427
94,-0.7022757530212402,0.6785537600517273,0.0325203612446785,0.0,220,541
94,-0.6870088577270508,4.342852592468262,0.0014639694709330797,0.0,197,412
94,0.0,22.96136474609375,0.0,0.0,119,413
94,0.0,24.159496307373047,3.605022430419922,0.0,119,432
95,-0.7022757530212402,0.6757138967514038,0.0700249969959259,0.0,246,549
95,-0.3969384729862213,0.8187934160232544,-0.35595113039016724,0.0,246,549
95,-0.6106745600700378,3.8365089893341064,0.42804229259490967,0.0,184,423
95,0.0,24.30699920654297,2.4181206226348877,0.0,129,442
96,-0.3053372800350189,0.3765629231929779,-0.06033668294548988,0.0,204,584
96,-0.10686805099248886,0.2909901738166809,-0.37759095430374146,0.0,204,584
96,-0.5038065314292908,1.375990867614746,0.0294442567974329,0.0,270,535
96,-0.6106745600700378,4.773952960968018,0.8387786746025085,0.0,192,434
96,0.0,22.68167495727539,3.5729384422302246,0.0,122,430
96,0.0,23.651323318481445,6.106745719909668,0.0,113,439
97,-0.5038065314292908,1.368533968925476,0.1460573673248291,0.0,265,543
97,-0.6106745600700378,4.7899017333984375,0.7423055171966553,0.0,201,431
97,-1.4350852966308594,22.666820526123047,3.3734309673309326,0.0,135,420
97,0.0,23.937944412231445,4.863365173339844,0.0,118,430
98,-0.3053372800350189,0.36331894993782043,-0.11592891067266464,0.0,201,588
98,-0.5038065314292908,1.364121437072754,0.1827307641506195,0.0,269,539
98,-0.6106745600700378,4.826164245605469,0.4497910439968109,0.0,198,433
98,-1.4350852966308594,22.703956604003906,3.113708257675171,0.0,120,430
98,0.0,24.239662170410156,3.0193138122558594,0.0,126,438
99,-0.5496070981025696,1.3395904302597046,0.22686606645584106,0.0,261,543
99,-0.7633432149887085,4.8108367919921875,0.3745039105415344,0.0,212,418
99,-1.4350852966308594,22.602731704711914,3.779060125350952,0.0,128,415
99,0.0,24.054157257080078,4.251474380493164,0.0,139,429
100,-0.5496070981025696,1.330657720565796,0.27444642782211304,0.0,258,543
100,-0.7633432149887085,4.80350923538208,0.45902442932128906,0.0,195,434
100,-1.4350852966308594,22.736026763916016,2.8701705932617188,0.0,125,412
100,0.0,24.142160415649414,3.71935772895813,0.0,147,425
